druid's deliverance#3
pacifism#4
sundering growth#3
centaur healer#4
Rogue's Passage

doomed traveler#2
vitu-ghazi guildmage#2
champion of lambholt
wayfaring temple
odric, master tactician
geist-honored monk
rancor#2
wake the reflections#4
intangible virtue#4
call of the conclave#4
selesnya charm#4
lingering souls#3
rootborn defenses#3
parallel lives
advent of the wurm
growing ranks
increasing devotion
evolving wilds#4
godless shrine
grove of the guardian
selesnya guildgate#4
plains#7
swamp
forest#6
